date,symbol,adj_close
2024-12-05,BA,156.67
2024-12-05,BAC,45.1
2024-12-05,BBAI,2.86
2024-12-05,CCL,26.15
2024-12-05,COIN,320.57
2024-12-05,COST,974.43
2024-12-05,CRWD,364.84
2024-12-05,CVX,148.93
2024-12-05,DAL,64.72
2024-12-05,DIS,114.75
2024-12-05,DJT,33.74
2024-12-05,F,9.39
2024-12-05,GE,170.72
2024-12-05,GME,28.63
2024-12-05,GOOG,172.85
2024-12-05,GOOGL,171.18
2024-12-05,HOOD,38.92
2024-12-05,INTC,20.8
2024-12-05,IONQ,35.95
2024-12-05,JNJ,141.74
2024-12-05,JPM,236.93
2024-12-05,KO,59.82
2024-12-05,LCID,20.9
2024-12-05,LLY,816.16
2024-12-05,META,605.28
2024-12-05,MRK,97.76
2024-12-05,MRVL,113.01
2024-12-05,MSFT,437.4
2024-12-05,MU,100.145
2024-12-05,NEE,72.6876
2024-12-05,NFLX,91.787
2024-12-05,NKE,76.15
2024-12-05,NOW,224.744
2024-12-05,NVDA,144.76
2024-12-05,O,51.2215
2024-12-05,ORCL,183.34
2024-12-05,PFE,23.12
2024-12-05,PLTR,71.87
2024-12-05,PLUG,2.45
2024-12-05,PSEC,3.72
2024-12-05,PYPL,88.625
2024-12-05,QBTS,3.77
2024-12-05,QCOM,155.06
2024-12-05,RGTI,3.18
2024-12-05,RIVN,12.34
2024-12-05,RKLB,23.92
2024-12-05,SBUX,95.54
2024-12-05,SNAP,12.17
2024-12-05,SNDL,1.9
2024-12-05,SOFI,15.65
2024-12-05,SOUN,13.33
2024-12-05,SPCE,6.3
2024-12-05,T,22.165
2024-12-05,TSLA,369.49
2024-12-05,UBER,65.23
2024-12-05,VST,159.529
2024-12-05,WMT,93.6575
2024-12-05,XOM,108.72
2024-12-06,AAL,17.4
2024-12-06,AAPL,241.28
2024-12-06,ABBV,166.17
2024-12-06,ACHR,8.28
2024-12-06,AMC,4.73
2024-12-06,AMD,138.59
2024-12-06,AMZN,227.03
2024-12-06,AVGO,175.87
2024-12-06,BA,153.93
2024-12-06,BAC,45.11
2024-12-06,BBAI,3.38
2024-12-06,CCL,26.31
2024-12-06,COIN,343.62
2024-12-06,COST,984.78
2024-12-06,CRWD,365.65
2024-12-06,CVX,144.84
2024-12-06,DAL,63.48
2024-12-06,DIS,114.98
2024-12-06,DJT,34.74
2024-12-06,F,9.46
2024-12-06,GE,173.39
2024-12-06,GME,29.06
2024-12-06,GOOG,175.03
2024-12-06,GOOGL,173.25
2024-12-06,HOOD,41.67
2024-12-06,INTC,20.92
2024-12-06,IONQ,37.97
2024-12-06,JNJ,141.53
2024-12-06,JPM,238.81
2024-12-06,KO,59.43
2024-12-06,LCID,23.0
2024-12-06,LLY,817.25
2024-12-06,META,620.12
2024-12-06,MRK,97.3
2024-12-06,MRVL,113.15
2024-12-06,MSFT,438.35
2024-12-06,MU,100.445
2024-12-06,NEE,71.7276
2024-12-06,NFLX,93.474
2024-12-06,NKE,76.46
2024-12-06,NOW,224.868
2024-12-06,NVDA,142.14
2024-12-06,O,51.3315
2024-12-06,ORCL,188.79
2024-12-06,PFE,23.15
2024-12-06,PLTR,76.34
2024-12-06,PLUG,2.38
2024-12-06,PSEC,3.73
2024-12-06,PYPL,89.46
2024-12-06,QBTS,5.06
2024-12-06,QCOM,154.18
2024-12-06,RGTI,4.38
2024-12-06,RIVN,13.0
2024-12-06,RKLB,24.68
2024-12-06,SBUX,96.42
2024-12-06,SNAP,12.44
2024-12-06,SNDL,1.9
2024-12-06,SOFI,16.02
2024-12-06,SOUN,15.01
2024-12-06,SPCE,6.48
2024-12-06,T,22.215
2024-12-06,TSLA,389.22
2024-12-06,UBER,66.09
2024-12-06,VST,158.629
2024-12-06,WMT,94.0575
2024-12-06,XOM,107.51
2024-12-09,AAL,17.16
2024-12-09,AAPL,245.19
2024-12-09,ABBV,166.55
2024-12-09,ACHR,7.82
2024-12-09,AMC,4.51
2024-12-09,AMD,130.87
2024-12-09,AMZN,226.09
2024-12-09,AVGO,175.28
2024-12-09,BA,157.04
2024-12-09,BAC,44.27
2024-12-09,BBAI,3.66
2024-12-09,CCL,25.09
2024-12-09,COIN,310.52
2024-12-09,COST,980.03
2024-12-09,CRWD,353.6
2024-12-09,CVX,146.68
2024-12-09,DAL,61.21
2024-12-09,DIS,112.86
2024-12-09,DJT,35.34
2024-12-09,F,9.55
2024-12-09,GE,169.13
2024-12-09,GME,27.93
2024-12-09,GOOG,175.84
2024-12-09,GOOGL,174.11
2024-12-09,HOOD,39.54
2024-12-09,INTC,20.81
2024-12-09,IONQ,34.24
2024-12-09,JNJ,141.82
2024-12-09,JPM,235.26
2024-12-09,KO,59.5
2024-12-09,LCID,25.5
2024-12-09,LLY,794.12
2024-12-09,META,609.92
2024-12-09,MRK,98.0
2024-12-09,MRVL,106.67
2024-12-09,MSFT,440.8
2024-12-09,MU,102.095
2024-12-09,NEE,71.1876
2024-12-09,NFLX,91.369
2024-12-09,NKE,75.21
