date,symbol,adj_close
2026-06-12,V,322.39
2026-06-15,V,323.82
2026-06-16,V,333.12
2026-06-02,WMT,113.06
2026-06-03,WMT,116.89
2026-06-04,WMT,117.74
2026-06-05,WMT,118.88
2026-06-08,WMT,119.83
2026-06-09,WMT,118.88
2026-06-10,WMT,120.59
2026-06-11,WMT,120.5
2026-06-12,WMT,121.04
2026-06-15,WMT,120.82
2026-06-16,WMT,121.03
2026-06-02,CSCO,128.0
2026-06-03,CSCO,126.5
2026-06-04,CSCO,130.0
2026-06-05,CSCO,121.64
2026-06-08,CSCO,124.15
2026-06-09,CSCO,120.36
2026-06-10,CSCO,118.8
2026-06-11,CSCO,121.83
2026-06-12,CSCO,121.1
2026-06-15,CSCO,120.17
2026-06-16,CSCO,119.57
2026-06-02,LRCX,334.41
2026-06-03,LRCX,343.71
2026-06-04,LRCX,336.41
2026-06-05,LRCX,303.28
2026-06-08,LRCX,324.45
2026-06-09,LRCX,327.16
2026-06-10,LRCX,321.8
2026-06-11,LRCX,362.52
2026-06-12,LRCX,366.81
2026-06-15,LRCX,388.92
2026-06-16,LRCX,369.34
2026-06-02,AMAT,490.05
2026-06-03,AMAT,500.77
2026-06-04,AMAT,501.7
2026-06-05,AMAT,453.01
2026-06-08,AMAT,492.17
2026-06-09,AMAT,499.21
2026-06-10,AMAT,497.01
2026-06-11,AMAT,552.64
2026-06-12,AMAT,567.25
2026-06-15,AMAT,585.78
2026-06-16,AMAT,568.23
2026-06-02,COST,954.27
2026-06-03,COST,961.83
2026-06-04,COST,972.35
2026-06-05,COST,971.87
2026-06-08,COST,974.75
2026-06-09,COST,968.59
2026-06-10,COST,983.37
2026-06-11,COST,975.69
2026-06-12,COST,982.35
2026-06-15,COST,979.45
2026-06-16,COST,986.68
2026-06-02,CAT,909.81
2026-06-03,CAT,926.18
2026-06-04,CAT,940.48
2026-06-05,CAT,904.28
2026-06-08,CAT,915.64
2026-06-09,CAT,914.7
2026-06-10,CAT,856.16
2026-06-11,CAT,897.63
2026-06-12,CAT,910.57
2026-06-15,CAT,933.93
2026-06-16,CAT,945.46
2026-06-02,ABBV,215.4
2026-06-03,ABBV,217.13
2026-06-04,ABBV,224.94
2026-06-05,ABBV,227.23
2026-06-08,ABBV,223.07
2026-06-09,ABBV,225.42
2026-06-10,ABBV,224.95
2026-06-11,ABBV,224.77
2026-06-12,ABBV,227.73
2026-06-15,ABBV,221.59
2026-06-16,ABBV,222.47
2026-06-02,MA,477.68
2026-06-03,MA,471.55
2026-06-04,MA,481.76
2026-06-05,MA,491.08
2026-06-08,MA,485.67
2026-06-09,MA,495.24
2026-06-10,MA,489.08
2026-06-11,MA,486.51
2026-06-12,MA,489.98
2026-06-15,MA,490.64
2026-06-16,MA,501.33
2026-06-02,UNH,377.92
2026-06-03,UNH,377.0
2026-06-04,UNH,396.47
2026-06-05,UNH,399.47
2026-06-08,UNH,406.57
2026-06-09,UNH,413.0
2026-06-10,UNH,407.46
2026-06-11,UNH,405.55
2026-06-12,UNH,408.52
2026-06-15,UNH,411.04
2026-06-16,UNH,407.65
2026-06-02,BAC,52.48
2026-06-03,BAC,52.4
2026-06-04,BAC,54.17
2026-06-05,BAC,53.83
2026-06-08,BAC,53.63
2026-06-09,BAC,54.42
2026-06-10,BAC,54.54
2026-06-11,BAC,55.16
2026-06-12,BAC,56.02
2026-06-15,BAC,55.87
2026-06-16,BAC,56.84
2026-06-02,PG,140.82
2026-06-03,PG,140.19
2026-06-04,PG,140.78
2026-06-05,PG,146.54
2026-06-08,PG,145.1
2026-06-09,PG,148.67
2026-06-10,PG,149.05
2026-06-11,PG,148.34
2026-06-12,PG,149.61
2026-06-15,PG,150.46
2026-06-16,PG,152.49
2026-06-02,CVX,187.55
2026-06-03,CVX,189.71
2026-06-04,CVX,188.35
2026-06-05,CVX,187.31
2026-06-08,CVX,189.24
2026-06-09,CVX,186.76
2026-06-10,CVX,189.8
2026-06-11,CVX,185.82
2026-06-12,CVX,187.22
2026-06-15,CVX,180.4
2026-06-16,CVX,180.11
2026-06-02,GE,317.72
2026-06-03,GE,314.64
2026-06-04,GE,327.65
2026-06-05,GE,328.0
2026-06-08,GE,322.04
2026-06-09,GE,330.44
2026-06-10,GE,318.71
2026-06-11,GE,332.76
2026-06-12,GE,335.3
2026-06-15,GE,342.26
2026-06-16,GE,351.73
2026-06-02,NFLX,83.33
2026-06-03,NFLX,81.52
2026-06-04,NFLX,81.56
2026-06-05,NFLX,82.18
2026-06-08,NFLX,82.64
2026-06-09,NFLX,81.41
2026-06-10,NFLX,82.0
2026-06-11,NFLX,81.27
2026-06-12,NFLX,80.34
2026-06-15,NFLX,81.67
2026-06-16,NFLX,78.72
2026-06-02,KLAC,204.52
2026-06-03,KLAC,212.511
2026-06-04,KLAC,213.11
2026-06-05,KLAC,192.92
2026-06-08,KLAC,210.806
2026-06-09,KLAC,213.937
2026-06-10,KLAC,213.564
2026-06-11,KLAC,241.164
2026-06-12,KLAC,254.54
2026-06-15,KLAC,256.42
2026-06-16,KLAC,237.33
2026-06-02,HD,311.52
2026-06-03,HD,312.97
2026-06-04,HD,309.95
2026-06-05,HD,310.78
2026-06-08,HD,309.71
2026-06-09,HD,321.33
2026-06-10,HD,318.92
2026-06-11,HD,326.01
2026-06-12,HD,328.39
2026-06-15,HD,329.82
2026-06-16,HD,337.09
